epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8386,1.38522,5.33044,1.68213,0.6545,0.62284,0.67961,0.41153,1.08145,2.47366,1.31286,8.2716e-05,8.2716e-05,8.2716e-05
2,69.7999,1.17803,4.19997,1.43374,0.53558,0.59722,0.6837,0.50717,0.91625,3.0402,1.30405,0.000166039,0.000166039,0.000166039
3,139.222,1.16473,3.75874,1.45991,0.86923,0.56728,0.68233,0.41542,1.09226,3.07962,1.45022,0.000249321,0.000249321,0.000249321
4,170.602,1.24835,3.73953,1.52511,0.89074,0.49334,0.57585,0.39204,1.23471,2.95356,1.5431,0.000332531,0.000332531,0.000332531
5,208.522,1.29198,3.58776,1.54173,0.62907,0.76192,0.78387,0.46984,1.21883,2.50428,1.51854,0.000415639,0.000415639,0.000415639
6,237.891,1.3099,3.09379,1.61938,0.56855,0.79211,0.83519,0.54386,1.15785,2.11138,1.44079,0.000498613,0.000498613,0.000498613
7,267.437,1.31278,2.99204,1.5758,0.66966,0.80966,0.7846,0.48095,1.29992,2.29165,1.72019,0.000581423,0.000581423,0.000581423
8,295.786,1.32228,2.61793,1.59139,0.77807,0.65601,0.79235,0.46991,1.33437,1.81921,1.57791,0.000664038,0.000664038,0.000664038
9,323.975,1.35776,2.45255,1.59008,0.86499,0.55509,0.70845,0.49567,1.10545,1.61403,1.42265,0.000746428,0.000746428,0.000746428
10,357.393,1.34798,2.54109,1.60974,0.597,0.67245,0.6711,0.41746,1.57155,2.10021,1.74805,0.000828563,0.000828563,0.000828563
11,386.421,1.43645,2.3675,1.68987,0.81677,0.72187,0.7841,0.52019,1.24079,1.69355,1.44565,0.000910411,0.000910411,0.000910411
12,415.615,1.3517,2.36403,1.62824,0.40102,0.59509,0.55604,0.34284,1.70134,2.18747,1.91081,0.000991943,0.000991943,0.000991943
13,443.232,1.47208,2.3149,1.68823,0.74522,0.63481,0.70442,0.45343,1.31214,1.71814,1.57536,0.00107313,0.00107313,0.00107313
14,491.425,1.38036,1.97601,1.6647,0.76086,0.68851,0.78289,0.41009,1.60437,1.57692,1.77082,0.00115394,0.00115394,0.00115394
15,518.367,1.30249,1.98056,1.5504,0.6439,0.60554,0.6656,0.40988,1.3907,1.63631,1.57216,0.00123434,0.00123434,0.00123434
16,545.766,1.33745,1.88829,1.55777,0.82974,0.64264,0.76926,0.55223,1.14641,1.75284,1.39058,0.00123273,0.00123273,0.00123273
17,573.816,1.32298,1.81141,1.53813,0.7831,0.73912,0.80395,0.56794,1.11239,1.32981,1.42389,0.00123037,0.00123037,0.00123037
